fasta_header                                                                              ,Virus name                                   ,Location                                             ,Collection date,Originating lab                                                                                                                                                                                                                 ,Submitting lab                                                                                                                                                                                                                                              ,Authors
hCoV-19/Portugal/PT0026/2020|EPI_ISL_418011|Europe|Portugal|2020-03-04                    ,hCoV-19/Portugal/PT0026/2020                 ,Europe/Portugal                                      ,2020-03-04     ,CHULC - H Curry Cabral                                                                                                                                                                                                          ,Instituto Nacional de Saude (INSA)                                                                                                                                                                                                                          ,Guiomar et al
hCoV-19/Portugal/PT0028/2020|EPI_ISL_418013|Europe|Portugal|2020-03-07                    ,hCoV-19/Portugal/PT0028/2020                 ,Europe/Portugal                                      ,2020-03-07     ,CHULC - H Curry Cabral                                                                                                                                                                                                          ,Instituto Nacional de Saude (INSA)                                                                                                                                                                                                                          ,Guiomar et al
hCoV-19/Portugal/PT0032/2020|EPI_ISL_418017|Europe|Portugal|2020-03-16                    ,hCoV-19/Portugal/PT0032/2020                 ,Europe/Portugal                                      ,2020-03-16     ,CHMT                                                                                                                                                                                                                            ,Instituto Nacional de Saude (INSA)                                                                                                                                                                                                                          ,Guiomar et al
hCoV-19/Japan/OS-20-07-1/2020|EPI_ISL_410532|Asia|Japan|2020-01-23                        ,hCoV-19/Japan/OS-20-07-1/2020                ,Asia/Japan/Osaka                                     ,2020-01-23     ,"Dept. of Pathology, National Institute of Infectious Diseases"                                                                                                                                                                 ,"Pathogen Genomics Center, National Institute of Infectious Diseases"                                                                                                                                                                                       ,"Tsuyoshi Sekizuka, Harutaka Katano, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Motoi Suzuki, Hideki Hasegawa, Takaji Wakita, Makoto Takeda, Tadaki Suzuki, Makoto Kuroda"
hCoV-19/USA/CA1/2020|EPI_ISL_406034|NorthAmerica|USA|2020-01-23                           ,hCoV-19/USA/CA1/2020                         ,NorthAmerica/USA/California/LosAngeles               ,2020-01-23     ,California Department of Public Health                                                                                                                                                                                          ,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"                                                                                                                                    ,"Anna Uehara, Krista Queen, Ying Tao, Yan Li, Clinton R. Paden, Jing Zhang, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
hCoV-19/USA/CA2/2020|EPI_ISL_406036|NorthAmerica|USA|2020-01-22                           ,hCoV-19/USA/CA2/2020                         ,NorthAmerica/USA/California/OrangeCounty             ,2020-01-22     ,California Department of Public Health                                                                                                                                                                                          ,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention "                                                                                                                                   ,"Anna Uehara, Krista Queen, Ying Tao, Yan Li, Clinton R. Paden, Jing Zhang, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong "
hCoV-19/Taiwan/2/2020|EPI_ISL_406031|Asia|Taiwan|2020-01-23                               ,hCoV-19/Taiwan/2/2020                        ,Asia/Taiwan/Kaohsiung                                ,2020-01-23     ,"Centers for Disease Control, R.O.C. (Taiwan)"                                                                                                                                                                                  ,"Centers for Disease Control, R.O.C. (Taiwan)"                                                                                                                                                                                                              ,"Ji-Rong Yang, Yu-Chi Lin, Jung-Jung Mu, Ming-Tsan Liu, Shu-Ying Li"
hCoV-19/Portugal/PT0015/2020|EPI_ISL_418000|Europe|Portugal|2020-03-10                    ,hCoV-19/Portugal/PT0015/2020                 ,Europe/Portugal                                      ,2020-03-10     ,ARS Algarve - Laboratório Laura Ayres                                                                                                                                                                                           ,Instituto Nacional de Saude (INSA)                                                                                                                                                                                                                          ,Guiomar et al
hCoV-19/Portugal/PT0019/2020|EPI_ISL_418004|Europe|Portugal|2020-03-12                    ,hCoV-19/Portugal/PT0019/2020                 ,Europe/Portugal                                      ,2020-03-12     ,ARS Algarve - Laboratório Laura Ayres                                                                                                                                                                                           ,Instituto Nacional de Saude (INSA)                                                                                                                                                                                                                          ,Guiomar et al
hCoV-19/USA/WA-S104/2020|EPI_ISL_417157|NorthAmerica|USA|2020-03-05                       ,hCoV-19/USA/WA-S104/2020                     ,NorthAmerica/USA/Washington/SnohomishCounty          ,2020-03-05     ,Washington State Department of Health                                                                                                                                                                                           ,Seattle Flu Study                                                                                                                                                                                                                                           ,Chu etl al
hCoV-19/Portugal/PT0022/2020|EPI_ISL_418007|Europe|Portugal|2020-03-13                    ,hCoV-19/Portugal/PT0022/2020                 ,Europe/Portugal                                      ,2020-03-13     ,H Braga                                                                                                                                                                                                                         ,Instituto Nacional de Saude (INSA)                                                                                                                                                                                                                          ,Guiomar et al
hCoV-19/Portugal/PT0021/2020|EPI_ISL_418006|Europe|Portugal|2020-03-13                    ,hCoV-19/Portugal/PT0021/2020                 ,Europe/Portugal                                      ,2020-03-13     ,CHBarreiro Montijo                                                                                                                                                                                                              ,Instituto Nacional de Saude (INSA)                                                                                                                                                                                                                          ,Guiomar et al
hCoV-19/Portugal/PT0020/2020|EPI_ISL_418005|Europe|Portugal|2020-03-12                    ,hCoV-19/Portugal/PT0020/2020                 ,Europe/Portugal                                      ,2020-03-12     ,CHU Coimbra - Pediátrico                                                                                                                                                                                                        ,Instituto Nacional de Saude (INSA)                                                                                                                                                                                                                          ,Guiomar et al
hCoV-19/Portugal/PT0024/2020|EPI_ISL_418009|Europe|Portugal|2020-03-15                    ,hCoV-19/Portugal/PT0024/2020                 ,Europe/Portugal                                      ,2020-03-15     ,HSE Ilha Terceira - Angra do Heroismo                                                                                                                                                                                           ,Instituto Nacional de Saude (INSA)                                                                                                                                                                                                                          ,Guiomar et al
hCoV-19/SouthAfrica/R03006-20/2020|EPI_ISL_417186|Africa|SouthAfrica|2020-03-07           ,hCoV-19/SouthAfrica/R03006-20/2020           ,Africa/SouthAfrica/KZN                               ,2020-03-07     ,National Institute for Communicable Diseases of the National Health Laboratory Service                                                                                                                                          ,National Institute for Communicable Diseases of the National Health Laboratory Service                                                                                                                                                                      ,"Allam M, Kwenda S, van Heusden P, Khumalo Z, Mohale T, Subramoney K, von Gottberg, A, Ismail A, Bhiman JN"
hCoV-19/HongKong/Case23_26012020/2020|EPI_ISL_417183|Asia|HongKong|2020-01-30             ,hCoV-19/HongKong/Case23_26012020/2020        ,Asia/HongKong                                        ,2020-01-30     ,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital"                                                                                                                                                    ,"Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University"                                                                                                                               ,"Kenneth Siu-Sing LEUNG, Timothy Ting-Leung NG, Alan Ka-Lun WU, Miranda Chong-Yee YAU, Hiu-Yin LAO, Ming-Pan CHOI, Kingsley King-Gee TAM, Lam-Kwong LEE, Barry Kin-Chung WONG, Alex Yat-Man HO, Kam-Tong Yip, Kwok-Cheung LUNG, Raymond Wai-To LIU, Eugene Yuk-Keung TSO, Wai-Shing LEUNG, Man-Chun CHAN, Yuk-Yung NG, Kit-Man SIN, Kitty Sau-Chun FUNG, Sandy Ka-Yee CHAU, Wing-Kin TO, Tak-Lun Que, David Ho-Keung SHUM, Shea Ping YIP, Wing Cheong YAM, Gilman Kit-Hang SIU"
hCoV-19/USA/WA-UW245/2020|EPI_ISL_418030|NorthAmerica|USA|2020-03-16                      ,hCoV-19/USA/WA-UW245/2020                    ,NorthAmerica/USA/Washington                          ,2020-03-16     ,UW Virology Lab                                                                                                                                                                                                                 ,UW Virology Lab                                                                                                                                                                                                                                             ,"Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger"
hCoV-19/USA/MN4-MDH4/2020|EPI_ISL_417189|NorthAmerica|USA|2020-03-09                      ,hCoV-19/USA/MN4-MDH4/2020                    ,NorthAmerica/USA/Minnesota                           ,2020-03-09     ,"Minnesota Department of Health, Public Health Laboratory"                                                                                                                                                                      ,"Minnesota Department of Health, Public Health Laboratory"                                                                                                                                                                                                  ,"Matt Plumb, Jake Garfin and Xiong Wang"
hCoV-19/USA/WA-UW251/2020|EPI_ISL_418036|NorthAmerica|USA|2020-03-13                      ,hCoV-19/USA/WA-UW251/2020                    ,NorthAmerica/USA/Washington                          ,2020-03-13     ,UW Virology Lab                                                                                                                                                                                                                 ,UW Virology Lab                                                                                                                                                                                                                                             ,"Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger"
hCoV-19/USA/WA-UW250/2020|EPI_ISL_418035|NorthAmerica|USA|2020-03-14                      ,hCoV-19/USA/WA-UW250/2020                    ,NorthAmerica/USA/Washington                          ,2020-03-14     ,UW Virology Lab                                                                                                                                                                                                                 ,UW Virology Lab                                                                                                                                                                                                                                             ,"Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger"
hCoV-19/Italy/INMI1-isl/2020|EPI_ISL_410545|Europe|Italy|2020-01-29                       ,hCoV-19/Italy/INMI1-isl/2020                 ,Europe/Italy/Rome                                    ,2020-01-29     ,INMI Lazzaro Spallanzani IRCCS                                                                                                                                                                                                  ,"Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS"                                                                                                                                                                                                    ,"Maria R. Capobianchi, Cesare E. M. Gruber, Martina Rueca, Barbara Bartolini, Francesco Messina, Emanuela Giombini, Francesca Colavita, Concetta Castilletti, Eleonora Lalle, Fabrizio Carletti, Emanuele Nicastri, Giuseppe Ippolito."
hCoV-19/HongKong/Case20_30012020/2020|EPI_ISL_417182|Asia|HongKong|2020-02-05             ,hCoV-19/HongKong/Case20_30012020/2020        ,Asia/HongKong                                        ,2020-02-05     ,"Department of Pathology, United Christian Hospital"                                                                                                                                                                            ,"Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University"                                                                                                                               ,"Kenneth Siu-Sing LEUNG, Timothy Ting-Leung NG, Alan Ka-Lun WU, Miranda Chong-Yee YAU, Hiu-Yin LAO, Ming-Pan CHOI, Kingsley King-Gee TAM, Lam-Kwong LEE, Barry Kin-Chung WONG, Alex Yat-Man HO, Kam-Tong Yip, Kwok-Cheung LUNG, Raymond Wai-To LIU, Eugene Yuk-Keung TSO, Wai-Shing LEUNG, Man-Chun CHAN, Yuk-Yung NG, Kit-Man SIN, Kitty Sau-Chun FUNG, Sandy Ka-Yee CHAU, Wing-Kin TO, Tak-Lun Que, David Ho-Keung SHUM, Shea Ping YIP, Wing Cheong YAM, Gilman Kit-Hang SIU"
hCoV-19/HongKong/Case17_22012020/2020|EPI_ISL_417180|Asia|HongKong|2020-02-03             ,hCoV-19/HongKong/Case17_22012020/2020        ,Asia/HongKong                                        ,2020-02-03     ,"Department of Pathology, United Christian Hospital"                                                                                                                                                                            ,"Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University"                                                                                                                               ,"Kenneth Siu-Sing LEUNG, Timothy Ting-Leung NG, Alan Ka-Lun WU, Miranda Chong-Yee YAU, Hiu-Yin LAO, Ming-Pan CHOI, Kingsley King-Gee TAM, Lam-Kwong LEE, Barry Kin-Chung WONG, Alex Yat-Man HO, Kam-Tong Yip, Kwok-Cheung LUNG, Raymond Wai-To LIU, Eugene Yuk-Keung TSO, Wai-Shing LEUNG, Man-Chun CHAN, Yuk-Yung NG, Kit-Man SIN, Kitty Sau-Chun FUNG, Sandy Ka-Yee CHAU, Wing-Kin TO, Tak-Lun Que, David Ho-Keung SHUM, Shea Ping YIP, Wing Cheong YAM, Gilman Kit-Hang SIU"
hCoV-19/Portugal/PT0037/2020|EPI_ISL_418022|Europe|Portugal|2020-03-15                    ,hCoV-19/Portugal/PT0037/2020                 ,Europe/Portugal                                      ,2020-03-15     ,H Braga                                                                                                                                                                                                                         ,Instituto Nacional de Saude (INSA)                                                                                                                                                                                                                          ,Guiomar et al
hCoV-19/Portugal/PT0036/2020|EPI_ISL_418021|Europe|Portugal|2020-03-16                    ,hCoV-19/Portugal/PT0036/2020                 ,Europe/Portugal                                      ,2020-03-16     ,H Braga                                                                                                                                                                                                                         ,Instituto Nacional de Saude (INSA)                                                                                                                                                                                                                          ,Guiomar et al
hCoV-19/USA/WA-S119/2020|EPI_ISL_417172|NorthAmerica|USA|2020-02-29                       ,hCoV-19/USA/WA-S119/2020                     ,NorthAmerica/USA/Washington/KingCounty               ,2020-02-29     ,Washington State Department of Health                                                                                                                                                                                           ,Seattle Flu Study                                                                                                                                                                                                                                           ,Chu etl al
hCoV-19/Portugal/PT0035/2020|EPI_ISL_418020|Europe|Portugal|2020-03-16                    ,hCoV-19/Portugal/PT0035/2020                 ,Europe/Portugal                                      ,2020-03-16     ,H Braga                                                                                                                                                                                                                         ,Instituto Nacional de Saude (INSA)                                                                                                                                                                                                                          ,Guiomar et al
hCoV-19/USA/WA-S120/2020|EPI_ISL_417173|NorthAmerica|USA|2020-03-01                       ,hCoV-19/USA/WA-S120/2020                     ,NorthAmerica/USA/Washington/KingCounty               ,2020-03-01     ,Washington State Department of Health                                                                                                                                                                                           ,Seattle Flu Study                                                                                                                                                                                                                                           ,Chu etl al
hCoV-19/HongKong/Case6_21012020/2020|EPI_ISL_417178|Asia|HongKong|2020-01-25              ,hCoV-19/HongKong/Case6_21012020/2020         ,Asia/HongKong                                        ,2020-01-25     ,"Department of Pathology, Princess Margaret Hospital"                                                                                                                                                                           ,"Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University"                                                                                                                               ,"Kenneth Siu-Sing LEUNG, Timothy Ting-Leung NG, Alan Ka-Lun WU, Miranda Chong-Yee YAU, Hiu-Yin LAO, Ming-Pan CHOI, Kingsley King-Gee TAM, Lam-Kwong LEE, Barry Kin-Chung WONG, Alex Yat-Man HO, Kam-Tong Yip, Kwok-Cheung LUNG, Raymond Wai-To LIU, Eugene Yuk-Keung TSO, Wai-Shing LEUNG, Man-Chun CHAN, Yuk-Yung NG, Kit-Man SIN, Kitty Sau-Chun FUNG, Sandy Ka-Yee CHAU, Wing-Kin TO, Tak-Lun Que, David Ho-Keung SHUM, Shea Ping YIP, Wing Cheong YAM, Gilman Kit-Hang SIU"
hCoV-19/Portugal/PT0041/2020|EPI_ISL_418026|Europe|Portugal|2020-03-17                    ,hCoV-19/Portugal/PT0041/2020                 ,Europe/Portugal                                      ,2020-03-17     ,H Dr. Nelio Mendonca - Funchal                                                                                                                                                                                                  ,Instituto Nacional de Saude (INSA)                                                                                                                                                                                                                          ,Guiomar et al
hCoV-19/HongKong/Case12_22012020/2020|EPI_ISL_417179|Asia|HongKong|2020-01-30             ,hCoV-19/HongKong/Case12_22012020/2020        ,Asia/HongKong                                        ,2020-01-30     ,"Department of Pathology, Princess Margaret Hospital"                                                                                                                                                                           ,"Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University"                                                                                                                               ,"Kenneth Siu-Sing LEUNG, Timothy Ting-Leung NG, Alan Ka-Lun WU, Miranda Chong-Yee YAU, Hiu-Yin LAO, Ming-Pan CHOI, Kingsley King-Gee TAM, Lam-Kwong LEE, Barry Kin-Chung WONG, Alex Yat-Man HO, Kam-Tong Yip, Kwok-Cheung LUNG, Raymond Wai-To LIU, Eugene Yuk-Keung TSO, Wai-Shing LEUNG, Man-Chun CHAN, Yuk-Yung NG, Kit-Man SIN, Kitty Sau-Chun FUNG, Sandy Ka-Yee CHAU, Wing-Kin TO, Tak-Lun Que, David Ho-Keung SHUM, Shea Ping YIP, Wing Cheong YAM, Gilman Kit-Hang SIU"
hCoV-19/Portugal/PT0040/2020|EPI_ISL_418025|Europe|Portugal|2020-03-17                    ,hCoV-19/Portugal/PT0040/2020                 ,Europe/Portugal                                      ,2020-03-17     ,H Santarem                                                                                                                                                                                                                      ,Instituto Nacional de Saude (INSA)                                                                                                                                                                                                                          ,Guiomar et al
hCoV-19/HongKong/Case1_21012020/2020|EPI_ISL_417176|Asia|HongKong|2020-01-21              ,hCoV-19/HongKong/Case1_21012020/2020         ,Asia/HongKong                                        ,2020-01-21     ,"Department of Pathology, Princess Margaret Hospital"                                                                                                                                                                           ,"Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University"                                                                                                                               ,"Kenneth Siu-Sing LEUNG, Timothy Ting-Leung NG, Alan Ka-Lun WU, Miranda Chong-Yee YAU, Hiu-Yin LAO, Ming-Pan CHOI, Kingsley King-Gee TAM, Lam-Kwong LEE, Barry Kin-Chung WONG, Alex Yat-Man HO, Kam-Tong Yip, Kwok-Cheung LUNG, Raymond Wai-To LIU, Eugene Yuk-Keung TSO, Wai-Shing LEUNG, Man-Chun CHAN, Yuk-Yung NG, Kit-Man SIN, Kitty Sau-Chun FUNG, Sandy Ka-Yee CHAU, Wing-Kin TO, Tak-Lun Que, David Ho-Keung SHUM, Shea Ping YIP, Wing Cheong YAM, Gilman Kit-Hang SIU"
hCoV-19/Portugal/PT0039/2020|EPI_ISL_418024|Europe|Portugal|2020-03-17                    ,hCoV-19/Portugal/PT0039/2020                 ,Europe/Portugal                                      ,2020-03-17     ,CHUA - Faro                                                                                                                                                                                                                     ,Instituto Nacional de Saude (INSA)                                                                                                                                                                                                                          ,Guiomar et al
hCoV-19/HongKong/Case2_18012020/2020|EPI_ISL_417177|Asia|HongKong|2020-01-23              ,hCoV-19/HongKong/Case2_18012020/2020         ,Asia/HongKong                                        ,2020-01-23     ,"Department of Pathology, Princess Margaret Hospital"                                                                                                                                                                           ,"Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University"                                                                                                                               ,"Kenneth Siu-Sing LEUNG, Timothy Ting-Leung NG, Alan Ka-Lun WU, Miranda Chong-Yee YAU, Hiu-Yin LAO, Ming-Pan CHOI, Kingsley King-Gee TAM, Lam-Kwong LEE, Barry Kin-Chung WONG, Alex Yat-Man HO, Kam-Tong Yip, Kwok-Cheung LUNG, Raymond Wai-To LIU, Eugene Yuk-Keung TSO, Wai-Shing LEUNG, Man-Chun CHAN, Yuk-Yung NG, Kit-Man SIN, Kitty Sau-Chun FUNG, Sandy Ka-Yee CHAU, Wing-Kin TO, Tak-Lun Que, David Ho-Keung SHUM, Shea Ping YIP, Wing Cheong YAM, Gilman Kit-Hang SIU"
hCoV-19/USA/WA-UW244/2020|EPI_ISL_418029|NorthAmerica|USA|2020-03-16                      ,hCoV-19/USA/WA-UW244/2020                    ,NorthAmerica/USA/Washington                          ,2020-03-16     ,UW Virology Lab                                                                                                                                                                                                                 ,UW Virology Lab                                                                                                                                                                                                                                             ,"Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger"
hCoV-19/USA/WA-UW243/2020|EPI_ISL_418028|NorthAmerica|USA|2020-03-13                      ,hCoV-19/USA/WA-UW243/2020                    ,NorthAmerica/USA/Washington                          ,2020-03-13     ,UW Virology Lab                                                                                                                                                                                                                 ,UW Virology Lab                                                                                                                                                                                                                                             ,"Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger"
hCoV-19/Portugal/PT0042/2020|EPI_ISL_418027|Europe|Portugal|2020-03-17                    ,hCoV-19/Portugal/PT0042/2020                 ,Europe/Portugal                                      ,2020-03-17     ,CHTMAD                                                                                                                                                                                                                          ,Instituto Nacional de Saude (INSA)                                                                                                                                                                                                                          ,Guiomar et al
hCoV-19/Singapore/4/2020|EPI_ISL_410535|Asia|Singapore|2020-02-03                         ,hCoV-19/Singapore/4/2020                     ,Asia/Singapore                                       ,2020-02-03     ,National Centre for Infectious Diseases                                                                                                                                                                                         ,"Programme in Emerging Infectious Diseases, Duke-NUS Medical School"                                                                                                                                                                                        ,"Danielle E Anderson, Martin Linster, Yan Zhuang, Jayanthi Jayakumar, David CB Lye, Yee Sin Leo, Barnaby E Young, Yvonne CF Su, Gavin JD Smith"
hCoV-19/USA/WA-UW273/2020|EPI_ISL_418058|NorthAmerica|USA|2020-03-13                      ,hCoV-19/USA/WA-UW273/2020                    ,NorthAmerica/USA/Washington                          ,2020-03-13     ,UW Virology Lab                                                                                                                                                                                                                 ,UW Virology Lab                                                                                                                                                                                                                                             ,"Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger"
hCoV-19/USA/WA-UW266/2020|EPI_ISL_418051|NorthAmerica|USA|2020-03-13                      ,hCoV-19/USA/WA-UW266/2020                    ,NorthAmerica/USA/Washington                          ,2020-03-13     ,UW Virology Lab                                                                                                                                                                                                                 ,UW Virology Lab                                                                                                                                                                                                                                             ,"Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger"
hCoV-19/USA/MN29-MDH29/2020|EPI_ISL_417196|NorthAmerica|USA|2020-03-11                    ,hCoV-19/USA/MN29-MDH29/2020                  ,NorthAmerica/USA/Minnesota                           ,2020-03-11     ,"Minnesota Department of Health, Public Health Laboratory"                                                                                                                                                                      ,"Minnesota Department of Health, Public Health Laboratory"                                                                                                                                                                                                  ,"Matt Plumb, Jake Garfin and Xiong Wang"
hCoV-19/HongKong/Case34_30012020/2020|EPI_ISL_417197|Asia|HongKong|2020-02-09             ,hCoV-19/HongKong/Case34_30012020/2020        ,Asia/HongKong                                        ,2020-02-09     ,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital"                                                                                                                                                    ,"Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University"                                                                                                                               ,"Kenneth Siu-Sing LEUNG, Timothy Ting-Leung NG, Alan Ka-Lun WU, Miranda Chong-Yee YAU, Hiu-Yin LAO, Ming-Pan CHOI, Kingsley King-Gee TAM, Lam-Kwong LEE, Barry Kin-Chung WONG, Alex Yat-Man HO, Kam-Tong Yip, Kwok-Cheung LUNG, Raymond Wai-To LIU, Eugene Yuk-Keung TSO, Wai-Shing LEUNG, Man-Chun CHAN, Yuk-Yung NG, Kit-Man SIN, Kitty Sau-Chun FUNG, Sandy Ka-Yee CHAU, Wing-Kin TO, Tak-Lun Que, David Ho-Keung SHUM, Shea Ping YIP, Wing Cheong YAM, Gilman Kit-Hang SIU"
hCoV-19/USA/WA-UW258/2020|EPI_ISL_418043|NorthAmerica|USA|2020-03-14                      ,hCoV-19/USA/WA-UW258/2020                    ,NorthAmerica/USA/Washington                          ,2020-03-14     ,UW Virology Lab                                                                                                                                                                                                                 ,UW Virology Lab                                                                                                                                                                                                                                             ,"Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger"
hCoV-19/USA/WA-UW257/2020|EPI_ISL_418042|NorthAmerica|USA|2020-03-13                      ,hCoV-19/USA/WA-UW257/2020                    ,NorthAmerica/USA/Washington                          ,2020-03-13     ,UW Virology Lab                                                                                                                                                                                                                 ,UW Virology Lab                                                                                                                                                                                                                                             ,"Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger"
hCoV-19/USA/WA-UW256/2020|EPI_ISL_418041|NorthAmerica|USA|2020-03-14                      ,hCoV-19/USA/WA-UW256/2020                    ,NorthAmerica/USA/Washington                          ,2020-03-14     ,UW Virology Lab                                                                                                                                                                                                                 ,UW Virology Lab                                                                                                                                                                                                                                             ,"Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger"
